"sample_id","genotype","utilization_of_fruit","berry_skin_colour_oiv_225","presence_of_seeds_oiv_241","berry_flavour_oiv_236","sex_of_flower_oiv_151","time_of_bud_burst_day_chasselas_oiv_301","time_of_full_bloom_day_chasselas_oiv_302","time_of_veraison_week_chasselas_oiv_303","time_of_maturity_week_chasselas_oiv_304","fertility_inflorescence_10_buds_oiv_155","bunch_weight_g_oiv_502","berry_weight_g_oiv_503","bunch_susceptibility_to_botrytis_0_to_5_oiv_459","acidity_of_must_g_h2so4_l_oiv_506","acidity_of_wine_g_h2so4_l","wine_alcohol"
"B00ERCR","Claverie coulard","wine","B","seed","none","F",3,NA,3,3.5,22,226,2.2,0.3,6.5,5.5,12.3
"B00ER7N","Coada vulpii","table","Rs","seed","none","F",1,NA,2,4,7,413,5.2,0.3,NA,NA,NA
"B00EQU6","Coarna alba","table","B","seed","none","F",3,2,2.8,3.6,17,203,4,0.1,NA,NA,NA
"B00EQTS","Cococciola","wine-table","B","seed","none","H",12,11,3,4.5,14,371,3.5,0,5.4,4.7,11.3
"B00EI5J","Coda di volpe bianca","wine","B","seed","none","H",12,NA,3.3,3.7,5,245,1.7,1,4.9,5,11.4
"B00EQU1","Codivarta","wine","B","seed","none","H",5,1,3.6,4.6,NA,369,2.6,0,NA,NA,NA
"B00FQGX","Cojonata",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00CW9E","Colorino","wine","N","seed","none","H",-3,NA,2,2,14,322,1.1,0,5.6,3.2,11.5
"B00EQVM","Completer","wine","B","seed","none","H",1,1,0.6,2.3,10,167,2.2,0,NA,NA,NA
"B00FQGZ","Gallura zenni de Damasco (Spain)",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQUI","Corason de Kabritte blanc","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERR1","Servant","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQFU","Corazon de cabrito",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQXJ","Corbeau","wine","N","seed","none","H",2,0,1.9,2.2,17,339,2.6,0.1,6.2,3.8,9
"B00ER6L","Corbina vicentina o nostrana","wine","N","seed","none","H",-4,NA,3.5,5,3,141,1.9,0,9.1,4,9.2
"B00FQGO","Corinthe noir = Korinthiaki","table","N","seedless","none","H",-2,2,1,1.2,14,138,0.8,0.2,NA,NA,NA
"B00ERS5","Cornichon blanc (non-identified)",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQFM","Cornifesto","wine","N","seed","none","H",5,NA,2,3,12,200,1.4,0.5,7.2,5.1,8.4
"B00EQXD","Courbu","wine","B","seed","none","H",7,1,3,3.7,21,148,1.4,0.5,7.2,6.3,10.8
"B00EQTM","Crimposie","wine","B","seed","none","F",0,NA,0.8,3.9,10,179,3.5,0.6,5.5,4.5,9
"B00ER1E","Crimson seedless","table","Rg","seedless","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER7O","Criolla grande sanjuanina","wine-table","N","seed","none","F",9,5.7,2.1,4,22,344,4.9,0.2,4.8,4.5,10.5
"B00F6OE","Croatina","wine","N","seed","none","H",9,10,3,4.1,3,285,1.9,0.2,7,4.3,11.4
"B00FQIL","Cruixen = Pampolat girat","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQHV","Cuatendrá","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQF7","Cuelga",NA,"B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER0K","Dabouki","table","B","seed","none","H",12,5,2.5,4.8,5,592,7.4,0.5,NA,NA,NA
"B00ER0H","Danugue","wine-table","N","seed","none","H",6,NA,3.8,5.3,6,526,5.9,0.3,3.8,3.6,8
"B00ER0E","Darkaia noir = Coarna neagra","table","N","seed","none","F",0,3,2.7,4,13,225,4,1,NA,NA,NA
"B00F6PB","Datal","table","B","seed","none","H",1,5,1.3,3.3,10,640,9.1,0.4,NA,NA,NA
"B00F6PK","Dattier de Beyrouth","table","B","seed","none","H",9,7,2.5,4.1,10,673,7,0.5,NA,NA,NA
"B00FQGW","De Cilindro",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6NW","Deckrot","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER3B","Dedo de Dama","table","B","seed","none","H",12,NA,3,4.6,8,1205,5,0.6,NA,NA,NA
"B00EJK9","Derechero","wine","N","seed","none","H",20,6,2.3,3.7,19,633,4.2,0.3,6,3.7,8.5
"B00ER1W","Dermatas","wine-table","B","seed","none","H",0,5,1.5,2.3,1,354,3.1,0,NA,NA,NA
"B00ER7D","Diagalves","wine-table","B","seed","none","H",10,NA,2.1,4,12,504,4.2,0.5,3.8,4.2,10.3
"B00EI4U","Dili kaftar","wine","Rs","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERCL","Dimiat","wine-table","B","seed","none","H",-5,NA,2.1,4,14,275,3.7,0.3,3.7,4,8.8
"B00EQTJ","Dimrit","wine","N","seed","none","H",8,NA,0.3,5,5,330,2.7,1,6.5,4,9.4
"B00ERD2","Dinka zöld","wine","B","seed","none","H",-4,-1,1.7,2.5,16,260,2.2,0,5.6,4.5,10.3
"B00ERS6","Djandjal kara","table","N","seed","none","H",0,7,2,5.5,0,247,5.4,0,NA,NA,NA
"B00ER0O","Doight du neigne","table","N-Rg","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6OB","Dolcetto","wine","N","seed","none","H",4,NA,1.3,2.9,11,218,1.6,0.2,5,4.2,9.4
"B00F6NX","Domina","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EJL9","Dominga","table","B","seed","none","H",NA,NA,NA,NA,0,175,3.8,0,NA,NA,NA
"B00FQG1","Dona Maria","table","B","seed","none","H",18,6.3,3,6.3,20,955,10.6,1,NA,NA,NA
"B00F6QE","Dongine","wine-table","B","seed","none","H",-1,2,2.3,1.6,8,223,2.4,0.6,5,3.7,9.2
"B00EI4P","Donzelinho branco","wine","B","seed","none","H",6,1,2,3,11,115,1.7,0.5,NA,NA,NA
"B00FQFN","Donzelinho tinto","wine","N","seed","none","H",5,NA,2.1,2.6,13,142,2.3,0.2,5.6,4.1,12.6
"B00EQYY","Doppel Augen","table","B","seed","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQIA","Doradilla","wine","B","seed","none","H",11,NA,3.7,4,6,845,3.8,0.3,3.7,4.1,9.6
"B00ER5A","Douradinha","wine","B","seed","none","H",0,NA,3,3,26,194,1.4,1.3,5.3,5.9,10.2
"B00EQUZ","Dureza","wine","N","seed","none","H",11,4,1.7,3.3,20,224,1.9,0.2,4.2,3.1,9.6
"B00FQGI","El Farryali","table","N","seed","none","H",10,NA,4,5.3,1,NA,NA,0,NA,NA,NA
"B00FQG4","El Gouz","table","B","seed","none","H",-3,NA,0.7,1,6,141,3.9,0.4,NA,NA,NA
"B00ERPY","Elbling","wine","B","seed","none","H",3,-1,2,2.5,15,142,2,0.3,4.6,5.5,9.2
"B00ER04","Emerald seedless","table","B","seedless","none","H",6,5,2.1,2.5,3,777,3.2,0.3,NA,NA,NA
"B00FQHZ","Epero de Gall","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER7K","Epinou","wine","N","seed","none","H",6,1,0.5,2.2,5,146,1.4,0,NA,NA,NA
"B001754","Espadeiro tinto","wine","N","seed","none","H",14,NA,3.8,4.6,15,155,1.9,0.2,8,5.6,10.6
"B00F6PG","Estaca saouma","wine","N","seed","none","F",3,8,4,5,11,131,2.5,0.8,8.5,5.5,9.6
"B00ERS7","Fahri Kalamak",NA,NA,NA,NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6P3","Falanghina","wine","B","seed","none","H",11,7,4.7,6,14,356,1.8,0.7,6.3,4.9,8.1
"B00ER8V","Fer","wine","N","seed","none","H",6,4,2.5,3.3,8,257,1.7,0.2,4.4,3.7,10.8
"B00ERB2","Ferlongo","table","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQF0","Fernandella","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQJE","Fernão Pires","wine","B","seed","none","H",3,-2,1.6,3.6,18,197,1.8,0.3,3.5,4.3,9.3
"B00FQGH","Ferral (Spain) = Uvallon",NA,"N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EI55","Ferral = Achladi","table","Rg","seed","none","H",12,NA,4.3,5.2,18,340,3.8,0,NA,NA,NA
"B00ERAM","Feteasca alba","wine","B","seed","none","H",4,-5,1.5,1,17,94,2.1,0.3,5.3,4.1,11.3
"B00EQTN","Feteasca regala","wine","B","seed","none","H",-3,0,1.3,1.3,22,147,1.5,0,NA,NA,NA
"B00ER1D","Fiano","wine","B","seed","none","H",-2,NA,3.3,3.6,8,176,1.3,0,4.9,4.7,10.8
"B00ER2G","Fiesta","table","B","seedless","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER5Z","Flame seedless","table","Rg","seedless","none","H",1,4,0,0,5,165,2.2,0,NA,NA,NA
"B00ER62","Flora","wine","Rs","seed","none","H",1,NA,1.7,2,19,191,1.5,0,5,5.5,12.1
"B00FQI1","Fogoneu","wine","N","seed","none","H",10,3,2.3,2.7,18,447,2.3,0.2,7.4,5.7,8.8
"B00EQTD","Fokiano","wine-table","N-Rg","seed","none","H",10,NA,NA,3.8,15,166,3.6,0.4,6,4,12.6
"B00FQJF","Folgasão","wine","B","seed","none","H",-1,NA,2,2.5,15,185,2.2,0.7,5.6,5,11
"B00FQG3","Fondo de Orza","table","B","seed","none","H",0,NA,1.3,1.7,4,NA,NA,0,NA,NA,NA
"B00FQIC","Forastera (Spain)","wine","B","seed","none","H",11,4,3.3,3.7,15,370,2.4,0.7,5.8,4.7,7.7
"B00EJL0","Forcallat tinta","wine","N","seed","none","H",6,6,3,3.7,10,281,1.6,0,3.5,3,8.1
"B00F6NR","Fortunato","table","B","seed","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQX0","Frankenthal","wine-table","N","seed","none","H",1,-1,2.5,2.9,7,482,4.5,0.4,3.2,2.5,9.1
"B00EQUV","Freisa","wine","N","seed","none","H",5,NA,NA,4.5,10,158,1.8,1.3,5.7,3.3,9.5
"B00ER9R","Fuella nera","wine","N","seed","none","H",1,-1,1,2,13,383,2.3,0.3,5.6,3.8,9.8
"B00EQX9","Fumin","wine","N","seed","none","H",11,7,2.7,3.5,16,277,2.1,0.7,8.6,3.8,8.9
"B00ER7Y","Furmint","wine","B","seed","none","H",5,2,2.2,4,20,209,2.9,1.3,6.1,6.2,10.8
"B00FQIE","Gabriela",NA,"B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQXP","Galbena de Odobesti","wine","B","seed","none","H",2,NA,1.6,2.6,18,313,2,0.5,5.1,4.2,9.1
"B00EQTU","Galbena uriasa","wine","B","seed","none","H",2,4,1.6,2.5,14,463,3.1,0.1,3.5,4.7,8.8
"B00EQUH","Galotta","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER8X","Gamaret","wine","N","seed","none","H",2,0,1,2,NA,149,1.7,0,5.8,NA,NA
"B00ER2O","Gamay","wine","N","seed","none","H",0,-3,1.5,1.3,14,165,2,0.5,5.7,4.8,10.1
"B00ER09","Gantziandan","table","B","seed","none","H",4,3,3,4.2,9,235,3,0,NA,NA,NA
"B00EQYZ","Garbanega faux (Istituto San Michele)","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER6P","Garganega","wine-table","B","seed","none","H",16,NA,3.3,3.3,10,411,1.9,0,6.9,6.2,11.6
"B00EJLC","Monstruosa",NA,"B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQZO","Garrido macho","wine-table","B","seed","none","H",16,5,3.3,5.2,10,586,3.9,1.8,5.9,5.2,9.5
"B00FQI7","Garro","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQVE","Gascon","wine","N","seed","none","H",5,0,2.3,2.9,14,223,1.9,0.4,3.7,3,11
"B00FQF2","Gateta","wine-table","N","seed","none","H",13,5,0.7,2.7,19,412,3,0.5,6.9,4,12.6
"B00ERPT","Geisdutte Blau",NA,"N","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERPF","Gelbhölzer blau","wine-table","N","seed","none","H",6,-4,2,2.6,13,167,1.8,0.6,5.7,3.8,11.4
"B00F6PR","Genk Uzum","table","B","seed","none","F",11,NA,3.7,5.3,17,374,3.1,0.3,3.2,4.4,8.7
"B00F6O9","Genovèse","wine","B","seed","none","H",-2,1,2.5,2.6,11,278,2.5,0.2,6.8,6.8,11.3
"B00EQZ0","Gharbi","wine","B",NA,NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQU3","Gheméra","wine","Rg","seed","none","H",8,NA,2.7,5,5,538,4.1,0.2,6,3.8,9.8
"B00EI4Q","Gibert","wine","N","seed","none","H",9,1,3,4.3,24,359,3.5,1,6,4,9.6
"B00ER5K","Gibi = Hebén","wine","B","seed","none","F",12,5,3.1,3.8,13,502,3.8,0.2,4.6,5,9.4
"B00ER8T","Glycostaphyllo","wine","Rg","seed","none","H",12,NA,4,4.3,8,NA,NA,0.3,NA,NA,NA
"B00ER7S","Goher","wine","B","seed","none","F",6,NA,0.8,1.8,14,109,2.4,0.7,4.8,6,12.4
"B00ER9J","Goldriesling","wine","B","seed","none","H",0,-1,0.3,1.1,16,142,1.6,2,5.1,4.7,11.1
"B00F6NZ","Golodan","table","B","seed","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQI4","Gorgollasa","wine","N","seed","none","H",8,NA,3,3.3,8,362,2.7,0,6,5.2,9.9
"B00EQTK","Gouais blanc","wine","B","seed","none","H",1,4,1.7,2.5,26,184,2.4,0.9,7.8,6.8,9.5
"B00EQZ1","Graeco","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQXO","Grain","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERJ2","Granatovyi",NA,"N",NA,NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQHG","Grand Noir de la Calmette","wine","N","seed","none","H",7,6,2.2,3,11,423,2.3,0.2,3.6,3.6,9
"B00ER2W","Grappenoux","wine","N","seed","none","H",3,0,3.7,3,21,102,1.2,0,6,2.9,10
"B00ER9T","Grassen","wine","N","seed","none","H",3,6,2.4,3.3,14,419,2.7,0.3,5.7,4.5,9.4
"B00ER98","Grec rouge","wine-table","Rs","seed","none","H",4,3,2.2,4,8,681,3.6,1.1,4.6,4.6,9.6
"B00ER14","Grechetto = Pignoletto","wine","B","seed","none","H",10,4,1.3,3.8,12,139,1.6,0.3,4,4.4,11
"B00EQTT","Greco bianco","wine","B","seed","other","H",9,NA,3.9,5,13,250,2.3,0.1,5.4,5.4,7.6
"B00ER0Z","Greco di Tufo","wine","B","seed","none","H",5,NA,3,3.3,15,253,1.3,1.5,7.1,7.8,11.1
"B00FQH1","Greg",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER9E","Garnacha tinta = Grenache","wine","N","seed","none","H",6,2,3.2,4.1,17,314,2.1,0.7,5.1,3,11.8
"B00ER9O","Grignolino","wine","N","seed","none","H",-4,NA,3.1,2.6,5,262,1.4,1,7,5.9,9.2
"B00ER0X","Grillo","wine","B","seed","none","H",17,5,1.3,3.6,8,249,5.3,0.3,5.3,4.5,11.1
"B00EQU8","Gros Bourgogne","wine","B","seed","none","H",1,NA,0.8,1.8,15,320,2.6,1.4,6.5,6.2,10.2
"B00EQUU","Gros Cabernet","wine","N","seed","none","H",8,NA,2.7,2.8,9,237,1.5,0.2,6.2,2.6,10.2
"B00F6PQ","Gros Colman","table","N","seed","none","H",4,0,3,4.3,13,424,5.1,1.8,2.7,2.8,7.8
"B00ERRG","Gros Manseng","wine","B","seed","none","H",0,2,3.3,4.1,20,230,1.4,0,7.6,5.8,10.6
"B00ER5Y","Gros Maroc","table","N","seed","none","H",0,2,3.9,5.2,5,464,7.4,0.2,NA,NA,NA
"B00EQUL","Grosse Mérille","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER6U","Grüner Veltliner","wine","B","seed","none","H",1,1,1.3,2.3,20,158,1.7,1.1,5,5.3,10.5
"B00EQZM","Hadari","table","B","seed","none","H",12,NA,NA,4.1,1,1271,6.1,0.5,NA,NA,NA
"B00EQSN","Hagnos Zöld","table","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERRW","Halholyag","table","B","seed","none","F",6,NA,2.3,3.7,18,268,4,0.2,NA,NA,NA
"B00ERPV","Hängling spänischer = Tauberschwarz","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER9V","Harslevelu","wine","B","seed","none","H",5,NA,2.4,3.4,15,231,2.6,1,6,6.6,10.3
"B00ERSI","Henab turki","table","Rg","seed","none","H",7,3,4.3,5.9,6,530,6.2,0.2,5.2,NA,4.9
"B00ER3E","Heptakilo","table","N","seed","none","H",7,5,3.6,5.4,3,551,6.4,0.1,NA,NA,NA
"B00EQTZ","Heroldrebe","wine","N","seed","none","H",5,NA,2.7,2.3,12,150,1.9,0,5.4,4.1,11.7
"B00ERPR","Heunisch Rot No 1","wine","Rg","seed","none","H",2,NA,3,2.7,16,291,2.4,2,5.5,5.2,10.7
"B00ERRB","Heunish Rotgestreift = mutation Gouais blanc",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQV4","Heunisch schwarz","wine","N","seed","none","F",9,5,4.6,3.8,15,271,2,0,7.2,6,10.4
"B00ERQ2","Hoertling Weiss",NA,"B",NA,NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER55","Houssein rouge","table","N-Rg","seed","none",NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA
"B00EQVB","Humagne blanc","wine","B","seed","none","H",1,NA,2.3,3,23,258,1.9,3,5.2,5.8,9.7
"B00ER0F","Hunisa","table","N-Rg","seed","none","F",3,8,4,6.3,4,291,6.7,NA,NA,NA,NA
"B00ER39","Hweidi","table","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERCG","Ichkimar","table","Rg","seed","none","F",2,NA,2.3,2.7,0,152,4.7,0.2,NA,NA,NA
"B00ER9S","Ichkimar biely faux (Collection Kichinev)","table","B","seed","none","F",1,1,3,4,4,86,3.4,0,NA,NA,NA
"B00EQXM","Impigno","wine","B","seed","none","H",2,NA,2.3,3.3,15,319,2.6,0.8,5.3,5.1,9.1
"B00F6QM","Institutis grdzelmtevana",NA,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER5H","Irsai Oliver","wine-table","B","seed","muscat","H",-9,NA,-1.7,-0.7,8,347,2.7,0,3.5,4,13.1
"B00ER9A","Italia","table","B","seed","muscat","H",5,3,3,4,7,647,8,0.3,NA,NA,NA
"B00ER35","Ithaki","table","Rs","seed","none","H",4,4.7,1,1.3,5,262,4.7,0,NA,NA,NA
"B00ERRY","Izsaki sarfeher","wine","B","seed","none","H",1,NA,1.7,3.3,14,411,2.9,1,5.7,8,9.1
"B00FQG2","Jaoumet","table","B","seed","none","H",-3,-1,-0.3,0,14,179,2.4,0.6,5.5,NA,11.1
"B00ERPQ","Javor Weiss",NA,"B","seed",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQGJ","Jeronimo","table","N","seed","none","H",8,NA,3.3,5.2,5,834,6.7,0.5,NA,NA,NA
"B00EQV3","Joubertin","wine","N","seed","none","H",4,1,1.5,2.2,14,241,2.1,0.4,7.5,3.9,7.6
"B00FQHL","Juan Garcia",NA,"N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQZU","July Muscat","table","B","seed","muscat","H",-8,0,0,0.7,18,284,4.2,0,NA,NA,NA
"B00ERA2","Kadarka","wine","N","seed","none","H",10,NA,2.8,4.1,18,210,2.3,1.3,6.4,5.1,8.9
"B00EQVZ","Kaisermuskat","wine","B","seed","none","H",6,NA,0.3,1.2,6,78,1.6,2.7,NA,NA,NA
"B00EQSQ","Kakotryghis","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER5E","Kandahari siah","table","N-Rg","seed","none","F",-9,NA,NA,-1,0,NA,NA,1,NA,NA,NA
"B00ER58","Kanzler","wine","B","seed","none","H",2,1,-1.7,-0.7,19,145,2.5,0,4.3,3.9,10.8
"B00ER2A","Kapistroni tétri hermaphrodite (Coll. Kichinev)","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6O0","Kara oglan faux","wine","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER7X","Kara ouzume Aschkhabadsky","wine-table","N","seed","none","H",3,NA,2.3,6,6,396,3.7,1.3,5.6,3.7,8.8
"B00EQTC","Kartsiotis","wine","N","seed","none","H",7,NA,3,4.8,29,222,1.8,0.8,6,4,7.4
"B00ERAE","Kasoufi de la Bekaa","wine","B","seed","none","H",4,NA,2.3,2.2,13,317,2.9,0,5.4,5,10.5
"B00ER0C","Katta-kourgan","table","B","seed","none","F",1,NA,3.3,5,6,538,10.4,0.2,NA,NA,NA
"B00EQSU","Kéknyelü","wine","B","seed","none","F",-1,NA,3,3,11,138,2,0,4,3.5,11.7
"B00ERRD","Kerner","wine","B","seed","none","H",0,-10,1,0,24,191,2,0,3.8,4.9,12.1
"B00ER0G","Khalili belyi","table","B","seed","none","H",10,3,-0.5,-0.9,3,449,2.7,0.8,NA,NA,NA
"B00EQZQ","Khalt","wine","B","seed","none","H",5,NA,NA,2,0,229,3.2,0,4,4.8,15.9
"B00F6QJ","Haristvala Meskhuri",NA,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER1I","Khikhvi","wine","B","seed","none","H",2,NA,2.7,2.7,12,62,3,0,NA,NA,NA
"B00ERCT","Khikhvi femelle (Collection Kichinev)","wine","B","seed","none","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER8M","Khindogny","wine","N","seed","none","H",4,NA,3.1,4,7,340,2.2,0.6,4.5,3.7,10
"B00EQZ2","Khoussaïné blanc","table","B","seed","none","H",-4,NA,1.7,3.2,6,459,6.2,0.3,3,NA,8.8
"B00EQYR","Kichmich tcherni","table","N","seedless","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER0L","Kizil sapak faux","wine","N","seed","none","H",8,9,2.7,4,1,338,3.9,0.5,7,5,9.5
"B00ER1S","Kizil Yakdona","table","Rs","seed","none","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERRC","Kokurdes belyi","wine-table","B","seed","none","H",8,3,2.3,4,8,303,2.5,NA,NA,NA,NA
"B00ERCU","Kolliniatiko","wine","Rg","seed","none","H",-6,NA,1,5.7,18,139,2.2,0,6.2,3,12.1
"B00EQU5","Kolontar","wine","B","seed","none","H",12,NA,2.3,4.7,5,187,2.3,0.2,5.5,5,9.5
"B00EQZ3","Kolossié gebirgig","table","N","seed","none","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER7U","Königstraube","wine-table","B","seed","none","H",8,NA,2,2.5,10,285,1.9,1.2,5.9,4.9,9.1
"B00ERSF","Kontegalo","table","B","seed","none","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6O1","Korza erevani","table","B",NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
